Title,Year,Cited by
Paper1,2017,1
Paper2,2017,1
Paper3,2017,14
Paper4,2017,8
Paper5,2017,5
Paper6,2017,24
Paper7,2017,8
Paper8,2017,4
Paper9,2017,7
Paper10,2017,0
Paper11,2017,8
Paper12,2017,11
Paper13,2017,0
Paper14,2017,0
Paper15,2017,30
Paper16,2017,185
Paper17,2017,0
Paper18,2017,3
Paper19,2017,9
Paper20,2017,30
Paper21,2017,13
Paper22,2017,23
Paper23,2017,0
Paper24,2017,6
Paper25,2017,32
Paper26,2017,11
Paper27,2017,0
Paper28,2017,5
Paper29,2017,13
Paper30,2017,33
Paper31,2017,0
Paper32,2017,0
Paper33,2017,0
Paper34,2017,0
Paper35,2017,1
Paper36,2017,0
Paper37,2017,3
Paper38,2017,12
Paper39,2017,0
Paper40,2017,0
Paper41,2017,6
Paper42,2017,5
Paper43,2017,5
Paper44,2017,15
Paper45,2017,19
Paper46,2017,11
Paper47,2017,11
Paper48,2017,8
Paper49,2016,0
Paper50,2016,48
Paper51,2016,1
Paper52,2016,0
Paper53,2016,2
Paper54,2016,5
Paper55,2016,19
Paper56,2016,383
Paper57,2016,0
Paper58,2016,0
Paper59,2016,0
Paper60,2016,1
Paper61,2016,0
Paper62,2016,0
Paper63,2016,1
Paper64,2016,4
Paper65,2016,1
Paper66,2016,9
Paper67,2016,6
Paper68,2015,1
Paper69,2015,7
Paper70,2015,10
Paper71,2015,14
Paper72,2015,122
Paper73,2015,1
Paper74,2015,20
Paper75,2015,7
Paper76,2015,0
Paper77,2015,0
Paper78,2015,2
Paper79,2015,0
Paper80,2015,2
Paper81,2015,0
Paper82,2015,0
Paper83,2014,7
Paper84,2014,10
Paper85,2014,3
Paper86,2014,1
Paper87,2014,1
Paper88,2014,0
Paper89,2014,11
Paper90,2014,21
Paper91,2014,5
Paper92,2014,21
Paper93,2013,17
Paper94,2013,6
Paper95,2013,35
Paper96,2013,0
Paper97,2013,60
Paper98,2013,22
Paper99,2013,32
Paper100,2013,1
Paper101,2013,35
Paper102,2013,55
Paper103,2012,32
Paper104,2012,4
Paper105,2011,5
Paper106,2011,0
Paper107,2011,0
Paper108,2011,4
